Unnamed: 0.1,Unnamed: 0,Time,PriceArea,ConsumptionValue,DayAheadPriceEUR,WeatherWindSpeed,WeatherTemperature,Year,Month,Day,Hour,WeatherTemperature_F,Solar_MWh,Wind_Offshore,Wind_Onshore,ym,tempbin,tempbin2,block,YearMonthDay,Price_Area,Price_gas,Price_coal,Price_EUA,IsHoliday,B16,B18,B19,Price_gas_ttf
,,2024-09-14 04:00:00,CZ,5143.5,56.76,11.927006721496582,282.284912109375,2024.0,9.0,14.0,4.0,48.44284179687504,58.0,0.0,245.5,2024-09,3.0,2.346708921357064,1.0,2024-09-14 00:00:00,cz,38.425,114.0,64.99,,58.0,,245.5,
647115.0,959496.0,2017-12-04 15:00:00,BG,5834.0,65.96178092,7.175342559814453,275.15655517578125,2017.0,12.0,4.0,15.0,35.61179931640629,0.0,0.0,298.0,2017-12,2.0,1.2682002505519956,4.0,2017-12-04,cz,20.95,93.6,7.55,0.0,,,,
501677.0,745988.0,2017-04-15 06:00:00,ES,21267.0,40.49,4.217057704925537,284.3127746582031,2017.0,4.0,15.0,6.0,52.09299438476567,601.0,0.0,3679.0,2017-04,4.0,2.7136800639712275,2.0,2017-04-15,pvb,15.85,75.55,4.95,0.0,,,,
905055.0,1356247.0,2019-02-06 00:00:00,RO,6417.0,37.7082454,3.704883337020874,274.31396484375,2019.0,2.0,6.0,24.0,34.09513671875004,0.0,0.0,841.0,2019-02,2.0,1.1624783478702572,6.0,2019-02-06,cz,21.85,76.1,23.7,0.0,,,,
1940706.0,2765874.0,2023-03-04 09:00:00,IT_CNOR,3126.0,144.4,5.36014986038208,281.5369567871094,2023.0,3.0,4.0,9.0,47.09652221679691,1013.0,0.0,49.0,2023-03,3.0,2.2180824049172454,3.0,2023-03-04,cegh,49.175,131.25,92.27,0.0,,,,
707425.0,1052660.0,2018-03-14 07:00:00,NL,15521.0,80.0,3.01959490776062,275.9588928222656,2018.0,3.0,14.0,7.0,37.05600708007817,0.0,26.0,12.0,2018-03,2.0,1.3731476607188031,2.0,2018-03-14,ttf,25.625,81.0,11.18,0.0,,,,
2170813.0,3049549.0,2023-12-19 06:00:00,FR,64397.0,95.02,5.803770542144775,277.3438415527344,2023.0,12.0,19.0,6.0,39.54891479492191,0.0,313.0,6289.0,2023-12,2.0,1.5641166614559934,2.0,2023-12-19,peg,31.925,116.75,71.93,0.0,,,,
1877737.0,2690724.0,2022-12-14 07:00:00,IT_SICI,2014.0,360.0,8.109848022460938,289.3512268066406,2022.0,12.0,14.0,7.0,61.16220825195317,131.0,0.0,545.0,2022-12,5.0,3.740815718255288,2.0,2022-12-14,cegh,141.5,239.5,86.19,0.0,,,,
716481.0,1066701.0,2018-03-29 10:00:00,NL,14884.0,51.17,6.570516586303711,278.7862854003906,2018.0,3.0,29.0,10.0,42.145313720703165,0.0,111.0,95.0,2018-03,3.0,1.7762274686164905,3.0,2018-03-29,ttf,18.825,79.45,13.28,0.0,,,,
2107464.0,2971563.0,2023-09-30 23:00:00,DE_LU,36364.0,94.14,4.747800350189209,286.74127197265625,2023.0,9.0,30.0,23.0,56.46428955078129,1.0,1523.0,4420.0,2023-09,4.0,3.188215994474469,6.0,2023-09-30,the,37.6,123.32,81.45,0.0,,,,
1223536.0,1833587.0,2020-06-17 17:00:00,DK_1,2642.0,47.33,4.639565944671631,293.63525390625,2020.0,6.0,17.0,17.0,68.87345703125004,171.0,264.0,167.0,2020-06,5.0,4.743553083435446,5.0,2020-06-17,etf,5.6,44.7,22.75,0.0,,,,
1602090.0,2355257.0,2021-12-24 04:00:00,PL,16930.0,100.08,7.380220890045166,270.7996826171875,2021.0,12.0,24.0,4.0,27.76942871093754,0.0,0.0,1745.0,2021-12,1.0,0.7711411709318421,1.0,2021-12-24,pvb,89.375,143.5,76.31,0.0,,,,
1999727.0,2836688.0,2023-05-17 22:00:00,RO,5164.0,100.59,4.556902885437012,286.1258239746094,2023.0,5.0,17.0,22.0,55.35648315429692,0.0,0.0,306.0,2023-05,4.0,3.064340227211958,6.0,2023-05-17,cz,34.25,117.85,88.04,0.0,,,,
479757.0,713606.0,2017-03-11 03:00:00,IT_CNOR,2736.0,29.07,7.969531536102295,280.07501220703125,2017.0,3.0,11.0,3.0,44.46502197265629,0.0,0.0,65.0,2017-03,3.0,1.9771381790288065,1.0,2017-03-11,cegh,15.65,75.4,5.17,0.0,,,,
,,2024-12-25 01:00:00,SE_2,1471.0,2.86,7.068306922912598,271.6830444335937,2024.0,12.0,25.0,1.0,29.359479980468688,0.0,0.0,4066.0,2024-12,1.0,0.8619790647235417,1.0,2024-12-25 00:00:00,etf,45.731,112.0,69.47,,0.0,,4066.0,45.731
940763.0,1411181.0,2019-04-04 06:00:00,IT_SUD,3043.0,43.87,7.094275951385498,285.0238037109375,2019.0,4.0,4.0,6.0,53.37284667968754,700.0,0.0,1222.0,2019-04,4.0,2.848660762693433,2.0,2019-04-04,cegh,21.85,56.15,24.44,0.0,,,,
1959071.0,2787974.0,2023-03-27 14:00:00,SE_4,2945.0,49.62,6.172757625579834,274.30474853515625,2023.0,3.0,27.0,14.0,34.07854736328129,106.0,0.0,632.0,2023-03,2.0,1.161347390391406,4.0,2023-03-27,etf,43.75,136.35,88.13,0.0,,,,
228458.0,339747.0,2016-01-20 10:00:00,NL,17256.0,61.92,6.073444843292236,275.9089660644531,2016.0,1.0,20.0,10.0,36.96613891601567,0.0,7.0,20.0,2016-01,2.0,1.366495426358168,3.0,2016-01-20,ttf,13.825,45.5,6.36,0.0,,,,
